-0.128458,-1.02623,-1.02623,-1.02623
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
-0.0417613,-0.939535,-0.939535,-0.939535
,
0.448988,-0.277415,-0.277415
0.879983,0.153581,0.153581
0.879983,0.153581,0.153581
0.879983,0.153581,0.153581
0.879983,0.153581,0.153581
,
-0.00931548
0.211907
0.211907
0.211907
,
0.711455,0.33769,0.33769,0.33769,0.33769
-0.23464,-0.608404,-0.608404,-0.608404,-0.608404
,
0.299348,-0.278655,-0.278655,-0.278655,-0.278655,-0.278655,-0.278655,-0.278655
0.723338,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334
0.723338,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334
0.723338,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334
0.723338,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334
0.723338,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334,0.145334
,
0.899279,0.564159,0.564159,0.564159,0.564159,0.564159,0.564159
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
0.668027,0.332907,0.332907,0.332907,0.332907,0.332907,0.332907
,
3.30843
3.94125
3.94125
3.94125
3.94125
3.94125
3.94125
3.94125
